affect;likableness;category
92.5;2;AffectiveUnlikable
94;5;AffectiveUnlikable
100;0;AffectiveUnlikable
10;15;AffectiveUnlikable
0;0;AffectiveUnlikable
0.5;7;AffectiveUnlikable
0;0;AffectiveUnlikable
80;0;AffectiveUnlikable
28;25;AffectiveUnlikable
9.5;5;AffectiveUnlikable
59.5;9;AffectiveUnlikable
83;2.5;AffectiveUnlikable
76;0;AffectiveUnlikable
12.5;12.5;AffectiveUnlikable
30.5;10;AffectiveUnlikable
43.5;5;AffectiveUnlikable
37;12.5;AffectiveUnlikable
40;5;AffectiveUnlikable
71;11.5;AffectiveUnlikable
60;0.5;AffectiveUnlikable
79;0;AffectiveUnlikable
20;15.5;AffectiveUnlikable
60;0.5;AffectiveUnlikable
5;15;AffectiveUnlikable
65;24.5;AffectiveUnlikable
75;2.5;AffectiveUnlikable
86;0;AffectiveUnlikable
81;4;AffectiveUnlikable
65;32;AffectiveUnlikable
45;5;AffectiveUnlikable
65;7.5;AffectiveUnlikable
97;6;AffectiveUnlikable
95;0;AffectiveUnlikable
30.5;17.5;AffectiveUnlikable
5.5;3.5;AffectiveUnlikable
44.5;27;AffectiveUnlikable
0;0;AffectiveUnlikable
95;16;AffectiveUnlikable
53.5;37;AffectiveUnlikable
30;14.5;AffectiveUnlikable
71.5;5.5;AffectiveUnlikable
57.5;20;AffectiveUnlikable
40.5;27.5;AffectiveUnlikable
60;24.5;AffectiveUnlikable
79;17;AffectiveUnlikable
31;15.5;AffectiveUnlikable
65;17.5;AffectiveUnlikable
70;10;AffectiveUnlikable
91.5;13.5;AffectiveUnlikable
20;45.5;AffectiveUnlikable
91;6.5;AffectiveUnlikable
55.5;10.5;AffectiveUnlikable
44.5;20.5;AffectiveUnlikable
0;5;AffectiveUnlikable
56;14;AffectiveUnlikable
30;55;AffectiveUnlikable
95;0;AffectiveUnlikable
84;4;AffectiveUnlikable
62.5;30;AffectiveUnlikable
52.5;15;AffectiveUnlikable
100;5;AffectiveUnlikable
97.5;4;AffectiveUnlikable
77.5;0;AffectiveUnlikable
8.5;0;AffectiveUnlikable
41;1.5;AffectiveUnlikable
55.5;45;AffectiveUnlikable
40;20;AffectiveUnlikable
100;30;AffectiveUnlikable
56;22.5;AffectiveUnlikable
85;15;AffectiveUnlikable
87;12;AffectiveUnlikable
66;12;AffectiveUnlikable
81.5;7;AffectiveUnlikable
85.5;24.5;AffectiveUnlikable
88.5;14.5;AffectiveUnlikable
75;10;AffectiveUnlikable
80;5.5;AffectiveUnlikable
31;15;AffectiveUnlikable
89.5;11.5;AffectiveUnlikable
45;24.5;AffectiveUnlikable
70;15;AffectiveUnlikable
44.5;7.5;AffectiveUnlikable
95;19.5;AffectiveUnlikable
0;0;AffectiveUnlikable
85.5;5;AffectiveUnlikable
80;57.5;AffectiveUnlikable
95;0;AffectiveUnlikable
90.5;25;AffectiveUnlikable
74.5;48;AffectiveUnlikable
80;0;AffectiveUnlikable
100;8.5;AffectiveUnlikable
99.5;6.5;AffectiveUnlikable
90;0;AffectiveUnlikable
54.5;13.5;AffectiveUnlikable
29;19.5;AffectiveUnlikable
15;35;AffectiveUnlikable
0;10;AffectiveUnlikable
75;10.5;AffectiveUnlikable
66;28.5;AffectiveUnlikable
0;9;AffectiveUnlikable
20.5;17;AffectiveUnlikable
53.5;11.5;AffectiveUnlikable
83;22.5;AffectiveUnlikable
14;23;AffectiveUnlikable
13;13;AffectiveUnlikable
31.5;20.5;AffectiveUnlikable
11;32.5;AffectiveUnlikable
60.5;42.5;AffectiveUnlikable
81.5;15.5;AffectiveUnlikable
65;40;AffectiveUnlikable
79.5;15.5;AffectiveUnlikable
44.5;16.5;AffectiveUnlikable
60;29.5;AffectiveUnlikable
0;10;AffectiveUnlikable
44;6.5;AffectiveUnlikable
92.5;22.5;AffectiveUnlikable
70;0;AffectiveUnlikable
100;8.5;AffectiveUnlikable
30;25;AffectiveUnlikable
80;22.5;AffectiveUnlikable
100;5;AffectiveUnlikable
38;0;AffectiveUnlikable
87.5;0;AffectiveUnlikable
29;20.5;AffectiveUnlikable
19;1.5;AffectiveUnlikable
59.5;10;AffectiveUnlikable
69;10;AffectiveUnlikable
65;36;AffectiveUnlikable
24;28.5;AffectiveUnlikable
85;10.5;AffectiveUnlikable
81;5.5;AffectiveUnlikable
77;6;AffectiveUnlikable
77;17.5;AffectiveUnlikable
74.5;24.5;AffectiveUnlikable
91.5;12;AffectiveUnlikable
82.5;12;AffectiveUnlikable
81;7;AffectiveUnlikable
62.5;30;AffectiveUnlikable
94.5;11.5;AffectiveUnlikable
49.5;65.5;AffectiveUnlikable
89.5;13.5;AffectiveUnlikable
64.5;56;AffectiveUnlikable
89.5;5;AffectiveUnlikable
0;5;AffectiveUnlikable
89;4;AffectiveUnlikable
75;25;AffectiveUnlikable
100;5;AffectiveUnlikable
98;1;AffectiveUnlikable
49;31.5;AffectiveUnlikable
70;25;AffectiveUnlikable
100;0;AffectiveUnlikable
98.5;1;AffectiveUnlikable
75;0;AffectiveUnlikable
19.5;24.5;AffectiveUnlikable
31;4;AffectiveUnlikable
85.5;50.5;AffectiveUnlikable
20;20;AffectiveUnlikable
100;38.5;AffectiveUnlikable
45;25.5;AffectiveUnlikable
80;14;AffectiveUnlikable
54.5;24;AffectiveUnlikable
60.5;16;AffectiveUnlikable
64.5;27.5;AffectiveUnlikable
65;10.5;AffectiveUnlikable
84;24.5;AffectiveUnlikable
56.5;7.5;AffectiveUnlikable
67;9;AffectiveUnlikable
80;21;AffectiveUnlikable
74;22.5;AffectiveUnlikable
55.5;55;AffectiveUnlikable
82.5;9.5;AffectiveUnlikable
55;15.5;AffectiveUnlikable
44.5;39.5;AffectiveUnlikable
0;0;AffectiveUnlikable
66;11;AffectiveUnlikable
85;22.5;AffectiveUnlikable
100;0;AffectiveUnlikable
95.5;4.5;AffectiveUnlikable
73;28.5;AffectiveUnlikable
60;12.5;AffectiveUnlikable
85;2.5;AffectiveUnlikable
66;6;AffectiveUnlikable
35;0;AffectiveUnlikable
36.5;12.5;AffectiveUnlikable
64;2;AffectiveUnlikable
54.5;40;AffectiveUnlikable
10;10;AffectiveUnlikable
85;35;AffectiveUnlikable
62.5;24;AffectiveUnlikable
75;15;AffectiveUnlikable
61.5;13.5;AffectiveUnlikable
67;7;AffectiveUnlikable
68.5;15.5;AffectiveUnlikable
80;20;AffectiveUnlikable
85;13;AffectiveUnlikable
56;8.5;AffectiveUnlikable
70;9;AffectiveUnlikable
50;4.5;AffectiveUnlikable
85;17;AffectiveUnlikable
60;60;AffectiveUnlikable
74.5;10.5;AffectiveUnlikable
43.5;12.5;AffectiveUnlikable
65.5;28.5;AffectiveUnlikable
35;10;AffectiveUnlikable
61.5;4;AffectiveUnlikable
92.5;12.5;AffectiveUnlikable
94.5;5;AffectiveUnlikable
75;6;AffectiveUnlikable
43.5;29.5;AffectiveUnlikable
85;27.5;AffectiveUnlikable
100;0;AffectiveUnlikable
94.5;4.5;AffectiveUnlikable
5;0;AffectiveUnlikable
36;0.5;AffectiveUnlikable
19;0;AffectiveUnlikable
87.5;81;NonaffectiveLikable
70;80;NonaffectiveLikable
45;100;NonaffectiveLikable
77;84;NonaffectiveLikable
54.5;89;NonaffectiveLikable
50.5;89;NonaffectiveLikable
61.5;83;NonaffectiveLikable
86;78;NonaffectiveLikable
69.5;90;NonaffectiveLikable
48;87.5;NonaffectiveLikable
74.5;89;NonaffectiveLikable
67;95;NonaffectiveLikable
93.5;96.5;NonaffectiveLikable
46;85;NonaffectiveLikable
90.5;100;NonaffectiveLikable
86.5;76;NonaffectiveLikable
75.5;70;NonaffectiveLikable
45;83;NonaffectiveLikable
95;75;NonaffectiveLikable
69;84.5;NonaffectiveLikable
95;87.5;NonaffectiveLikable
70.5;91;NonaffectiveLikable
100;90;NonaffectiveLikable
57;79;NonaffectiveLikable
70;92.5;NonaffectiveLikable
75;99;NonaffectiveLikable
95;93.5;NonaffectiveLikable
100;100;NonaffectiveLikable
28;94;NonaffectiveLikable
86;87;NonaffectiveLikable
65;70;NonaffectiveLikable
30;70;NonaffectiveLikable
0;82.5;NonaffectiveLikable
46.5;79;NonaffectiveLikable
39.5;75;NonaffectiveLikable
24;90;NonaffectiveLikable
36;77;NonaffectiveLikable
68;88;NonaffectiveLikable
7.5;87;NonaffectiveLikable
36.5;64;NonaffectiveLikable
15.5;92;NonaffectiveLikable
62;100;NonaffectiveLikable
20.5;83.5;NonaffectiveLikable
22.5;82;NonaffectiveLikable
65.5;94;NonaffectiveLikable
25;55;NonaffectiveLikable
80.5;80;NonaffectiveLikable
44;69.5;NonaffectiveLikable
55;55;NonaffectiveLikable
45;96;NonaffectiveLikable
30;75;NonaffectiveLikable
65;90;NonaffectiveLikable
54;79;NonaffectiveLikable
55.5;73;NonaffectiveLikable
17.5;82.5;NonaffectiveLikable
17.5;100;NonaffectiveLikable
5;65.5;NonaffectiveLikable
67.5;100;NonaffectiveLikable
76.5;97;NonaffectiveLikable
70.5;73;NonaffectiveLikable
80;79;NonaffectiveLikable
30;80;NonaffectiveLikable
0;97.5;NonaffectiveLikable
50;79.5;NonaffectiveLikable
30;85;NonaffectiveLikable
40;86;NonaffectiveLikable
45;87.5;NonaffectiveLikable
63;81.5;NonaffectiveLikable
60;78.5;NonaffectiveLikable
40;82;NonaffectiveLikable
36.5;95.5;NonaffectiveLikable
74;100;NonaffectiveLikable
50;87.5;NonaffectiveLikable
46;82.5;NonaffectiveLikable
39.5;90;NonaffectiveLikable
67.5;93;NonaffectiveLikable
85;80;NonaffectiveLikable
54.5;49;NonaffectiveLikable
65;75;NonaffectiveLikable
46.5;95.5;NonaffectiveLikable
62.5;95;NonaffectiveLikable
74;100;NonaffectiveLikable
82;79;NonaffectiveLikable
67.5;73;NonaffectiveLikable
40;87.5;NonaffectiveLikable
55;85;NonaffectiveLikable
34;79;NonaffectiveLikable
75;95;NonaffectiveLikable
98.5;100;NonaffectiveLikable
87.5;93.5;NonaffectiveLikable
83.5;91.5;NonaffectiveLikable
70;100;NonaffectiveLikable
15;74.5;NonaffectiveLikable
33;84.5;NonaffectiveLikable
50;90;NonaffectiveLikable
70.5;94.5;NonaffectiveLikable
64;84;NonaffectiveLikable
73.5;91.5;NonaffectiveLikable
90;91.5;NonaffectiveLikable
70;89.5;NonaffectiveLikable
52.5;90.5;NonaffectiveLikable
75;100;NonaffectiveLikable
80;95;NonaffectiveLikable
61.5;78.5;NonaffectiveLikable
69.5;95;NonaffectiveLikable
88;82.5;NonaffectiveLikable
85;80;NonaffectiveLikable
40.5;85;NonaffectiveLikable
95;70;NonaffectiveLikable
65;96;NonaffectiveLikable
75;92.5;NonaffectiveLikable
80;100;NonaffectiveLikable
87;85;NonaffectiveLikable
50.5;74.5;NonaffectiveLikable
40;87.5;NonaffectiveLikable
65;80;NonaffectiveLikable
18;76;NonaffectiveLikable
100;97.5;NonaffectiveLikable
89.5;90;NonaffectiveLikable
84.5;95;NonaffectiveLikable
85;80;NonaffectiveLikable
20;70;NonaffectiveLikable
55;90;NonaffectiveLikable
32;79.5;NonaffectiveLikable
60;84.5;NonaffectiveLikable
55.5;73;NonaffectiveLikable
50;68.5;NonaffectiveLikable
70.5;75.5;NonaffectiveLikable
65;60;NonaffectiveLikable
37;80;NonaffectiveLikable
55.5;89;NonaffectiveLikable
69;85;NonaffectiveLikable
89.5;88;NonaffectiveLikable
59;83.5;NonaffectiveLikable
75;70;NonaffectiveLikable
75.5;55.5;NonaffectiveLikable
72;45.5;NonaffectiveLikable
44.5;80;NonaffectiveLikable
55;57.5;NonaffectiveLikable
57;80;NonaffectiveLikable
95;75;NonaffectiveLikable
89;69.5;NonaffectiveLikable
63;72;NonaffectiveLikable
52.5;48.5;NonaffectiveLikable
62.5;42.5;NonaffectiveLikable
47.5;57.5;NonaffectiveLikable
85.5;87.5;NonaffectiveLikable
95;95;NonaffectiveLikable
50;74.5;NonaffectiveLikable
71.5;84;NonaffectiveLikable
43.5;81.5;NonaffectiveLikable
30;70;NonaffectiveLikable
0;97;NonaffectiveLikable
32;77;NonaffectiveLikable
14.5;89.5;NonaffectiveLikable
20;92.5;NonaffectiveLikable
26;91;NonaffectiveLikable
62;75;NonaffectiveLikable
13.5;90;NonaffectiveLikable
20;89.5;NonaffectiveLikable
18.5;89.5;NonaffectiveLikable
18.5;100;NonaffectiveLikable
38.5;90;NonaffectiveLikable
10;89;NonaffectiveLikable
60.5;89.5;NonaffectiveLikable
58;52.5;NonaffectiveLikable
56.5;37.5;NonaffectiveLikable
40;74.5;NonaffectiveLikable
90;65;NonaffectiveLikable
45.5;73.5;NonaffectiveLikable
0;100;NonaffectiveLikable
45;99.5;NonaffectiveLikable
70.5;98.5;NonaffectiveLikable
68.5;49;NonaffectiveLikable
5;100;NonaffectiveLikable
5;100;NonaffectiveLikable
33;96.5;NonaffectiveLikable
5;100;NonaffectiveLikable
100;99.5;NonaffectiveLikable
61.5;88.5;NonaffectiveLikable
25;87.5;NonaffectiveLikable
50;100;NonaffectiveLikable
0;100;NonaffectiveLikable
42.5;80.5;NonaffectiveLikable
25;94.5;NonaffectiveLikable
20;99;NonaffectiveLikable
25;88;NonaffectiveLikable
72.5;82.5;NonaffectiveLikable
7.5;94.5;NonaffectiveLikable
17.5;88.5;NonaffectiveLikable
21.5;90;NonaffectiveLikable
20;95;NonaffectiveLikable
10;90;NonaffectiveLikable
11.5;88;NonaffectiveLikable
74.5;100;NonaffectiveLikable
25.5;93;NonaffectiveLikable
81.5;77;NonaffectiveLikable
35.5;65.5;NonaffectiveLikable
60;85;NonaffectiveLikable
32;96;NonaffectiveLikable
0;100;NonaffectiveLikable
49.5;100;NonaffectiveLikable
80.5;99.5;NonaffectiveLikable
56;75.5;NonaffectiveLikable
20;100;NonaffectiveLikable
5;97.5;NonaffectiveLikable
1.5;94.5;NonaffectiveLikable
2.5;100;NonaffectiveLikable
93;99;NonaffectiveLikable
73.5;87.5;NonaffectiveLikable
85;84.5;NonaffectiveLikable
50;100;NonaffectiveLikable
0;100;NonaffectiveLikable
36;91;NonaffectiveLikable
35;90.5;NonaffectiveLikable
69;94.5;NonaffectiveLikable
54.5;86.5;NonaffectiveLikable
67;82;NonaffectiveLikable
75;87.5;NonaffectiveLikable
30.5;90.5;NonaffectiveLikable
44.5;92.5;NonaffectiveLikable
70.5;98.5;NonaffectiveLikable
70;94.5;NonaffectiveLikable
37.5;88;NonaffectiveLikable
79.5;100;NonaffectiveLikable
66;93.5;NonaffectiveLikable
73;69;NonaffectiveLikable
50;90;NonaffectiveLikable
95;75;NonaffectiveLikable
72.5;95.5;NonaffectiveLikable
60;87.5;NonaffectiveLikable
80;100;NonaffectiveLikable
83;95;NonaffectiveLikable
67;71.5;NonaffectiveLikable
20;97.5;NonaffectiveLikable
67.5;100;NonaffectiveLikable
22.5;51.5;NonaffectiveLikable
100;100;NonaffectiveLikable
85.5;99.5;NonaffectiveLikable
72;97;NonaffectiveLikable
84.5;85;NonaffectiveLikable
70;100;NonaffectiveLikable
5;97.5;NonaffectiveLikable
73.5;94.5;NonaffectiveLikable
60.5;83;NonaffectiveLikable
57.5;83.5;NonaffectiveLikable
65;81.5;NonaffectiveLikable
73;76.5;NonaffectiveLikable
20;70.5;NonaffectiveLikable
24.5;93;NonaffectiveLikable
38.5;78;NonaffectiveLikable
71.5;55;NonaffectiveLikable
65;80;NonaffectiveLikable
47.5;67.5;NonaffectiveLikable
100;99.5;NonaffectiveLikable
24.5;45;NonaffectiveLikable
65;20;NonaffectiveLikable
31.5;66.5;NonaffectiveLikable
85;80;NonaffectiveLikable
72.5;75.5;NonaffectiveLikable
40;50;NonaffectiveLikable
80;80;NonaffectiveLikable
57;90.5;NonaffectiveLikable
66.5;77.5;NonaffectiveLikable
12.5;67.5;NonaffectiveLikable
10;65;NonaffectiveLikable
11.5;89;NonaffectiveLikable
42.5;82.5;NonaffectiveLikable
73;99.5;NonaffectiveLikable
69.5;71;NonaffectiveLikable
29.5;49.5;NonaffectiveUnlikable
30;40;NonaffectiveUnlikable
82.5;22.5;NonaffectiveUnlikable
28.5;29;NonaffectiveUnlikable
29.5;19;NonaffectiveUnlikable
11.5;44.5;NonaffectiveUnlikable
27.5;30;NonaffectiveUnlikable
65;24;NonaffectiveUnlikable
5.5;24;NonaffectiveUnlikable
64;28;NonaffectiveUnlikable
31.5;18;NonaffectiveUnlikable
17.5;30;NonaffectiveUnlikable
2.5;15;NonaffectiveUnlikable
56.5;11.5;NonaffectiveUnlikable
70;55;NonaffectiveUnlikable
55.5;25;NonaffectiveUnlikable
43.5;15;NonaffectiveUnlikable
19.5;42.5;NonaffectiveUnlikable
0;10;NonaffectiveUnlikable
46.5;4;NonaffectiveUnlikable
27.5;70;NonaffectiveUnlikable
80;30.5;NonaffectiveUnlikable
55.5;2.5;NonaffectiveUnlikable
51;32;NonaffectiveUnlikable
12.5;0;NonaffectiveUnlikable
42.5;0;NonaffectiveUnlikable
4;12;NonaffectiveUnlikable
87.5;0;NonaffectiveUnlikable
9;0;NonaffectiveUnlikable
40.5;10;NonaffectiveUnlikable
40;30;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
2.5;12.5;NonaffectiveUnlikable
26;20.5;NonaffectiveUnlikable
10;24.5;NonaffectiveUnlikable
10.5;15;NonaffectiveUnlikable
62;11.5;NonaffectiveUnlikable
77.5;12.5;NonaffectiveUnlikable
12.5;19.5;NonaffectiveUnlikable
76;7.5;NonaffectiveUnlikable
26.5;17;NonaffectiveUnlikable
39.5;19.5;NonaffectiveUnlikable
35;15;NonaffectiveUnlikable
47.5;11.5;NonaffectiveUnlikable
10;20;NonaffectiveUnlikable
20;27.5;NonaffectiveUnlikable
60;25;NonaffectiveUnlikable
10;33;NonaffectiveUnlikable
0;25;NonaffectiveUnlikable
40.5;15.5;NonaffectiveUnlikable
2.5;45;NonaffectiveUnlikable
73.5;34.5;NonaffectiveUnlikable
60;17.5;NonaffectiveUnlikable
