;ROI;Classification accuracy;Class
560;V1;0.556213598;likableness
561;V1;0.517703355;likableness
562;V1;0.527096401;likableness
563;V1;0.552444245;likableness
564;V1;0.549001581;likableness
565;V1;0.540783055;likableness
566;V1;0.519374129;likableness
567;V1;0.520340191;likableness
568;V1;0.523096812;likableness
569;V1;0.581105635;likableness
570;PM;0.500034224;likableness
571;PM;0.552315126;likableness
572;PM;0.633047404;likableness
573;PM;0.515428987;likableness
574;PM;0.555667563;likableness
575;PM;0.565491525;likableness
576;PM;0.550134097;likableness
577;PM;0.518848317;likableness
578;PM;0.498252999;likableness
579;PM;0.569526894;likableness
580;PM;0.605761213;likableness
581;PM;0.524086208;likableness
582;PM;0.501431203;likableness
583;PM;0.55073458;likableness
584;PM;0.487996565;likableness
585;PM;0.580100682;likableness
586;PM;0.504309165;likableness
587;PM;0.560942789;likableness
588;PM;0.562874913;likableness
589;PM;0.517518232;likableness
590;PM;0.582177482;likableness
591;PM;0.600794006;likableness
592;PM;0.554460374;likableness
593;PM;0.590053763;likableness
594;PM;0.579161066;likableness
595;PM;0.549640955;likableness
596;PM;0.589697518;likableness
597;PM;0.549015581;likableness
598;PM;0.617016378;likableness
599;PM;0.602499004;likableness
